complaint_text,category
Account verification pending now,Account
Billing dispute again,Billing
Login issue asap,Account
Technical support needed,Technical
App keeps crashing now,Technical
Account merge issue help,Account
Account recovery needed today,Account
Page not found soon,Technical
Discount not applied now,Billing
No follow up on service,Service
I was overcharged please,Billing
API error asap,Technical
Service quality is poor asap,Service
Payment not recorded today,Billing
Login issue please,Account
Two-factor authentication problem help,Account
Unhelpful response,Service
Duplicate charges on my bill,Billing
Password reset not working today,Account
Service quality is poor asap,Service
Support ticket not resolved,Service
Support ticket not resolved please,Service
Order stuck in transit,Delivery
Cannot update account today,Account
Invoice not received help,Billing
Support team not responsive now,Service
Unhelpful response asap,Service
Delivery took too long please,Delivery
App keeps crashing soon,Technical
Account access denied asap,Account
Rude customer support,Service
Account details not showing help,Account
Bad service experience,Service
Technical glitch now,Technical
My bill is incorrect again,Billing
Account access denied asap,Account
Service quality is poor soon,Service
Billing dispute,Billing
Package delayed please,Delivery
Charged twice for same service soon,Billing
Username not recognized asap,Account
Subscription charge issue soon,Billing
Long wait time,Service
Connection timeout,Technical
Duplicate charges on my bill help,Billing
Invoice not received help,Billing
My bill is incorrect,Billing
Billing error on my statement soon,Billing
No response from support,Service
Payment failed but charged soon,Billing
Billing dispute today,Billing
App freezes please,Technical
App is slow today,Technical
Service response time is bad,Service
API error today,Technical
Bill due date confusion,Billing
Error message appearing asap,Technical
Unexpected charges on my bill asap,Billing
Order not delivered on time again,Delivery
Invoice not received today,Billing
Support ticket not resolved asap,Service
Delivery address wrong help,Delivery
Account locked again,Account
Service request ignored now,Service
Invoice not received please,Billing
Refund not processed now,Billing
No follow up on service today,Service
Incorrect payment amount help,Billing
Delivery driver was rude soon,Delivery
Account merge issue please,Account
Account information incorrect now,Account
Login failed again,Account
Shipment delayed asap,Delivery
Package returned,Delivery
Password reset not working help,Account
Can't log in to my account please,Account
Package not arrived now,Delivery
Discount not applied now,Billing
Service complaint,Service
Service issue unresolved,Service
System is down please,Technical
Payment not recorded again,Billing
Rude customer support soon,Service
Technical glitch now,Technical
Account locked asap,Account
Subscription charge issue,Billing
App freezes,Technical
Service response time is bad soon,Service
Account verification failed asap,Account
Shipment delayed today,Delivery
Username not recognized again,Account
Dissatisfied with service now,Service
Account verification pending again,Account
Account locked again,Account
Waiting too long for service soon,Service
Account suspended asap,Account
Wrong price charged again,Billing
Invoice not received,Billing
Service team unhelpful asap,Service
Unexpected charges on my bill,Billing
Late delivery now,Delivery
Waiting too long for service asap,Service
Unexpected charges on my bill again,Billing
Account locked help,Account
Account access denied please,Account
Bill due date confusion soon,Billing
Can't log in to my account asap,Account
Delivery status not updating soon,Delivery
Account access denied today,Account
App is slow please,Technical
Technical problem with account today,Technical
Poor customer service today,Service
Account details not showing,Account
Bill amount is wrong,Billing
Support team not responsive asap,Service
Order stuck in transit again,Delivery
Late delivery help,Delivery
Delivery driver was rude soon,Delivery
Login page error now,Technical
Billing inquiry please,Billing
Package lost,Delivery
Page loading error today,Technical
Account locked,Account
System is down now,Technical
Order not received today,Delivery
Delivery status not updating now,Delivery
No response from support again,Service
Order not delivered on time today,Delivery
Server error now,Technical
Profile update issue again,Account
Duplicate charges on my bill asap,Billing
Technical issue with website today,Technical
Dissatisfied with service,Service
Delivery problem now,Delivery
Bug in the system,Technical
Bill due date confusion now,Billing
API error please,Technical
Payment failed but charged soon,Billing
Unexpected charges on my bill help,Billing
Package not arrived,Delivery
Discount not applied please,Billing
Package delayed please,Delivery
Rude customer support again,Service
Subscription charge issue now,Billing
Delivery pending help,Delivery
Package not arrived today,Delivery
Payment failed but charged again,Billing
Package lost now,Delivery
Delivery address wrong help,Delivery
Service not satisfactory help,Service
I was overcharged,Billing
Login page error soon,Technical
Incorrect payment amount,Billing
Unexpected charges on my bill please,Billing
Support team not responsive please,Service
Cannot update account today,Account
My bill is incorrect asap,Billing
Wrong item delivered today,Delivery
Service quality is poor,Service
Charged twice for same service,Billing
Technical issue with website,Technical
Password reset not working today,Account
Service not satisfactory please,Service
Bill amount is wrong today,Billing
Service team unhelpful now,Service
Dissatisfied with service asap,Service
Bill amount is wrong now,Billing
I was overcharged please,Billing
No follow up on service soon,Service
Website not loading help,Technical
Refund not processed please,Billing
Technical support needed asap,Technical
Long wait time asap,Service
Login page error again,Technical
Technical issue with website today,Technical
Page loading error,Technical
Login issue asap,Account
App freezes now,Technical
Bug in the system asap,Technical
Account security concern soon,Account
Account merge issue,Account
Software bug,Technical
